station_name,latitude,longitude,total_ridership,total_crimes,crimes_per_week,crimes_per_day,weekday_total,weekend_total,weekday_crimes_per_day,weekend_crimes_per_day,weekend_multiplier,late_night_total,late_night_pct,late_night_crimes_per_day,event_proxy_total,event_proxy_pct,event_proxy_multiplier,risk_category,distance_to_bmo,distance_to_scotiabank,distance_to_rogers,is_near_bmo,is_near_scotiabank,is_near_rogers,venue_category
DUNDAS WEST,43.65693632,-79.45324212,23861.0,698,1.6778846153846154,0.23904109589041095,501,197,0.24086538461538462,0.23677884615384615,0.9830339321357285,147,21.060171919770774,0.05034246575342466,61,8.739255014326648,1.2234957020057309,Medium,3.821261961383101,6.1495055856537135,5.419361653456874,False,False,False,Other
OSSINGTON,43.66239032,-79.42630256,22109.0,872,2.0961538461538463,0.29863013698630136,595,277,0.2860576923076923,0.3329326923076923,1.1638655462184875,248,28.440366972477065,0.08493150684931507,81,9.288990825688073,1.3004587155963303,Medium,3.300010841380272,4.339807162392193,3.77657444116488,False,False,False,Other
WARDEN,43.71159702,-79.27946972,21843.0,317,0.7620192307692307,0.10856164383561644,234,83,0.1125,0.09975961538461539,0.8867521367521368,74,23.34384858044164,0.025342465753424658,40,12.618296529968454,1.7665615141955837,Low,14.20372667500314,11.024192742663187,11.793479299120746,False,False,False,Other
WILSON,43.73411172,-79.4512368,21579.0,527,1.2668269230769231,0.18047945205479451,405,122,0.19471153846153846,0.1466346153846154,0.7530864197530864,81,15.370018975332068,0.02773972602739726,49,9.297912713472485,1.301707779886148,Medium,11.518218843946205,11.625792079613854,11.445464961913714,False,False,False,Other
LAWRENCE,43.72535419,-79.40193424,21197.0,390,0.9375,0.13356164383561644,271,119,0.13028846153846155,0.14302884615384615,1.0977859778597785,83,21.28205128205128,0.028424657534246577,40,10.256410256410255,1.435897435897436,Low,10.337508143072553,9.28512743824959,9.389533283602113,False,False,False,Other
ST CLAIR WEST,43.68404574,-79.41509401,21013.0,817,1.9639423076923077,0.2797945205479452,575,242,0.2764423076923077,0.29086538461538464,1.0521739130434782,176,21.542227662178703,0.06027397260273973,84,10.281517747858016,1.4394124847001224,Medium,5.662072588010931,5.358101538639161,5.172839061828802,False,False,False,Other
BAY,43.67028667,-79.39011534,20980.0,1183,2.84375,0.40513698630136985,865,318,0.41586538461538464,0.38221153846153844,0.9190751445086704,239,20.202874049027894,0.08184931506849315,99,8.368554522400675,1.1715976331360947,Medium,4.729628012542172,3.1075706752136596,3.212566646068354,False,False,False,Other
YORK MILLS,43.74490955,-79.40636584,20498.0,237,0.5697115384615384,0.08116438356164384,162,75,0.07788461538461539,0.09014423076923077,1.1574074074074074,53,22.362869198312236,0.018150684931506848,31,13.080168776371309,1.8312236286919834,Low,12.462351865487586,11.487327488957888,11.590282853977044,False,False,False,Other
YORK UNIVERSITY,43.77385041,-79.50015382,20447.0,334,0.8028846153846154,0.11438356164383562,248,86,0.11923076923076924,0.10336538461538461,0.8669354838709676,82,24.550898203592812,0.028082191780821917,29,8.682634730538922,1.2155688622754492,Low,16.948734836356593,17.457386780197933,17.209330064492157,False,False,False,Other
LAWRENCE WEST,43.71579263,-79.44411111,19742.0,559,1.34375,0.19143835616438357,414,145,0.19903846153846153,0.17427884615384615,0.8756038647342995,109,19.499105545617173,0.03732876712328767,40,7.155635062611807,1.001788908765653,Medium,9.405041041293844,9.589108564382244,9.369401548984335,False,False,False,Other
YORKDALE,43.72508658,-79.44773717,19725.0,979,2.3533653846153846,0.3352739726027397,683,296,0.3283653846153846,0.3557692307692308,1.0834553440702783,123,12.563840653728295,0.04212328767123288,127,12.972420837589377,1.8161389172625129,Medium,10.477193103303613,10.618994933449256,10.421070604519514,False,False,False,Other
SHEPPARD WEST,43.74992572,-79.46264786,19495.0,312,0.75,0.10684931506849316,223,89,0.10721153846153846,0.10697115384615384,0.9977578475336323,70,22.435897435897438,0.023972602739726026,24,7.6923076923076925,1.076923076923077,Low,13.44747195262114,13.60731282646454,13.42770277869357,False,False,False,Other
OSGOODE,43.65071214,-79.38681792,19323.0,1142,2.7451923076923075,0.3910958904109589,814,328,0.39134615384615384,0.3942307692307692,1.0073710073710074,299,26.182136602451838,0.1023972602739726,94,8.231173380035026,1.1523642732049038,Medium,3.2336350404084744,1.0142787191039258,1.0561001853630827,False,True,True,Downtown Events
MAIN STREET,43.68908219,-79.30150188,18682.0,1152,2.769230769230769,0.39452054794520547,837,315,0.40240384615384617,0.3786057692307692,0.9408602150537634,298,25.868055555555557,0.10205479452054794,108,9.375,1.3125,Medium,11.304710932259772,8.040388261197226,8.837409362640132,False,False,False,Other
FINCH WEST,43.7639617,-79.49166599,18345.0,609,1.4639423076923077,0.20856164383561643,436,173,0.20961538461538462,0.20793269230769232,0.9919724770642202,140,22.988505747126435,0.04794520547945205,54,8.866995073891626,1.2413793103448278,Medium,15.672682986138376,16.164674380716168,15.915738891070244,False,False,False,Other
WELLESLEY,43.66529384,-79.38393902,17705.0,2428,5.836538461538462,0.8315068493150685,1739,689,0.8360576923076923,0.828125,0.9905117883841288,619,25.494233937397038,0.21198630136986302,206,8.484349258649095,1.1878088962108735,High,4.543988542918741,2.454435639008904,2.692955206652325,False,False,False,Other
LANSDOWNE,43.65910755,-79.44268627,17406.0,686,1.6490384615384615,0.23493150684931507,468,218,0.225,0.2620192307692308,1.1645299145299146,206,30.029154518950435,0.07054794520547945,61,8.892128279883382,1.2448979591836735,Medium,3.458606407103385,5.402221187904077,4.717778903949981,False,False,False,Other
ROYAL YORK,43.64816383,-79.51134219,17337.0,384,0.9230769230769231,0.13150684931506848,278,106,0.13365384615384615,0.12740384615384615,0.9532374100719424,83,21.614583333333336,0.028424657534246577,55,14.322916666666666,2.0052083333333335,Low,7.622619915081438,10.653215210770451,9.840772115278188,False,False,False,Other
NORTH YORK CENTRE,43.76900952,-79.41309143,16699.0,921,2.2139423076923075,0.3154109589041096,656,265,0.3153846153846154,0.31850961538461536,1.0099085365853657,214,23.235613463626493,0.07328767123287672,100,10.857763300760045,1.5200868621064063,Medium,15.108546997942977,14.220969502064246,14.316756337402008,False,False,False,Other
PIONEER VILLAGE,43.77717834,-79.51032299,16570.0,73,0.17548076923076922,0.025,56,17,0.026923076923076925,0.020432692307692308,0.7589285714285714,11,15.068493150684931,0.003767123287671233,3,4.10958904109589,0.5753424657534246,Low,17.61576626858861,18.22616025898367,17.955903484560896,False,False,False,Other
KEELE,43.65559371,-79.46006348,16305.0,304,0.7307692307692307,0.10410958904109589,221,83,0.10625,0.09975961538461539,0.9389140271493214,71,23.355263157894736,0.024315068493150686,34,11.18421052631579,1.5657894736842106,Low,4.1438115217753895,6.651506552369132,5.900527866952937,False,False,False,Other
DAVISVILLE,43.69785923,-79.3971253,15903.0,535,1.2860576923076923,0.1832191780821918,390,145,0.1875,0.17427884615384615,0.9294871794871794,111,20.747663551401867,0.03801369863013699,53,9.906542056074766,1.3869158878504673,Medium,7.400040164978857,6.215902947817013,6.308653753182832,False,False,False,Other
RUNNYMEDE,43.65174273,-79.47597198,15838.0,415,0.9975961538461539,0.1421232876712329,306,109,0.14711538461538462,0.1310096153846154,0.8905228758169935,75,18.072289156626507,0.025684931506849314,35,8.433734939759036,1.180722891566265,Low,5.034052971858653,7.848069179774872,7.06004432139888,False,False,False,Other
JANE,43.6498882,-79.48437996,14953.0,330,0.7932692307692307,0.11301369863013698,237,93,0.11394230769230769,0.11177884615384616,0.9810126582278482,82,24.848484848484848,0.028082191780821917,31,9.393939393939393,1.3151515151515152,Low,5.586289583121332,8.50073613909179,7.700446289538636,False,False,False,Other
EGLINTON WEST,43.69912069,-79.43571085,13982.0,595,1.4302884615384615,0.20376712328767124,449,146,0.21586538461538463,0.17548076923076922,0.8129175946547883,166,27.899159663865547,0.05684931506849315,75,12.605042016806722,1.7647058823529413,Medium,7.453723868382745,7.679977846419035,7.420778197710006,False,False,False,Other
COXWELL,43.68413047,-79.32306016,13450.0,494,1.1875,0.16917808219178082,371,123,0.17836538461538462,0.14783653846153846,0.8288409703504043,112,22.672064777327936,0.038356164383561646,54,10.931174089068826,1.5303643724696356,Medium,9.56632110886789,6.382122154870008,7.14513493106661,False,False,False,Other
BROADVIEW,43.67692577,-79.35847304,11720.0,775,1.8629807692307692,0.2654109589041096,571,204,0.2745192307692308,0.24519230769230768,0.893169877408056,165,21.29032258064516,0.05650684931506849,62,8.0,1.12,Medium,6.875526466101634,4.070346880730968,4.668457805451136,False,False,False,Other
CHRISTIE,43.66412477,-79.41837283,11407.0,571,1.3725961538461537,0.19554794520547944,387,184,0.1860576923076923,0.22115384615384615,1.1886304909560723,162,28.371278458844134,0.05547945205479452,64,11.208406304728546,1.5691768826619967,Medium,3.4389391170488386,3.904167101735448,3.437808930725501,False,False,False,Other
DUPONT,43.67479162,-79.40679935,11084.0,629,1.5120192307692308,0.21541095890410958,453,176,0.21778846153846154,0.21153846153846154,0.9713024282560706,143,22.73449920508744,0.04897260273972603,55,8.744038155802862,1.2241653418124008,Medium,4.726130126491539,4.131817653977039,3.9680492991123706,False,False,False,Other
WOODBINE,43.68642215,-79.31277112,10803.0,535,1.2860576923076923,0.1832191780821918,365,170,0.17548076923076922,0.20432692307692307,1.1643835616438356,142,26.542056074766357,0.04863013698630137,45,8.411214953271028,1.177570093457944,Medium,10.388026116790767,7.15852345236998,7.940801688446534,False,False,False,Other
MUSEUM,43.66674903,-79.39281286,9604.0,299,0.71875,0.1023972602739726,234,65,0.1125,0.078125,0.6944444444444444,51,17.05685618729097,0.017465753424657535,26,8.695652173913043,1.2173913043478262,Low,4.280406777266584,2.810727244968623,2.832025068348836,False,False,False,Other
GREENWOOD,43.68258062,-79.33029539,9567.0,693,1.6658653846153846,0.23732876712328768,515,178,0.24759615384615385,0.21394230769230768,0.8640776699029126,161,23.232323232323232,0.055136986301369866,50,7.215007215007215,1.0101010101010102,Medium,8.997630667068886,5.856288855828191,6.600962122648805,False,False,False,Other
HIGH PARK,43.65392814,-79.46690655,9173.0,586,1.4086538461538463,0.20068493150684932,421,165,0.20240384615384616,0.19831730769230768,0.9798099762470308,110,18.771331058020476,0.03767123287671233,41,6.996587030716723,0.9795221843003413,Medium,4.498257626724821,7.159354914838429,6.389908906751169,False,False,False,Other
CASTLE FRANK,43.67323618,-79.36945279,8943.0,291,0.6995192307692307,0.09965753424657534,211,80,0.10144230769230769,0.09615384615384616,0.9478672985781991,85,29.20962199312715,0.02910958904109589,30,10.309278350515463,1.443298969072165,Low,5.970308017316081,3.3963692942298938,3.886749886293347,False,False,False,Other
DONLANDS,43.68099108,-79.33782111,6317.0,464,1.1153846153846154,0.1589041095890411,327,137,0.15721153846153846,0.16466346153846154,1.047400611620795,112,24.137931034482758,0.038356164383561646,40,8.620689655172415,1.2068965517241381,Medium,8.413349532960103,5.3296181758918255,6.049438984011875,False,False,False,Other
BAYVIEW,43.7671088,-79.38753163,6205.0,446,1.0721153846153846,0.15273972602739727,320,126,0.15384615384615385,0.15144230769230768,0.9843749999999999,98,21.973094170403588,0.03356164383561644,50,11.210762331838566,1.5695067264573994,Medium,15.1020021245936,13.761371759164156,13.978987615899737,False,False,False,Other
CHESTER,43.67824022,-79.35253711,6197.0,406,0.9759615384615384,0.13904109589041097,296,110,0.1423076923076923,0.13221153846153846,0.9290540540540541,113,27.832512315270936,0.0386986301369863,32,7.8817733990147785,1.1034482758620692,Low,7.320247926952089,4.414538773273005,5.057121823232416,False,False,False,Other
OLD MILL,43.65006138,-79.49491548,6109.0,128,0.3076923076923077,0.043835616438356165,96,32,0.046153846153846156,0.038461538461538464,0.8333333333333334,33,25.78125,0.011301369863013699,10,7.8125,1.09375,Low,6.397743298063936,9.347215632900731,8.54454392341906,False,False,False,Other
GLENCAIRN,43.70935059,-79.44109477,5878.0,271,0.6514423076923077,0.09280821917808219,198,73,0.09519230769230769,0.08774038461538461,0.9217171717171717,81,29.88929889298893,0.02773972602739726,28,10.33210332103321,1.4464944649446496,Low,8.653677500544548,8.858494211066208,8.624037109526505,False,False,False,Other
DOWNSVIEW PARK,43.75393625,-79.47955142,5618.0,137,0.3293269230769231,0.046917808219178084,97,40,0.046634615384615385,0.04807692307692308,1.0309278350515465,45,32.846715328467155,0.015410958904109588,14,10.218978102189782,1.4306569343065696,Low,14.28341368359744,14.697300765951548,14.460775399701731,False,False,False,Other
SUMMERHILL,43.68230153,-79.39079202,5045.0,350,0.8413461538461539,0.11986301369863013,244,106,0.11730769230769231,0.12740384615384615,1.0860655737704918,81,23.142857142857142,0.02773972602739726,51,14.571428571428571,2.04,Low,5.9095590565160805,4.415852026926198,4.5494208841102655,False,False,False,Other
ROSEDALE,43.67693709,-79.38874645,4875.0,504,1.2115384615384615,0.1726027397260274,363,141,0.17451923076923076,0.16947115384615385,0.9710743801652894,117,23.214285714285715,0.04006849315068493,53,10.515873015873016,1.4722222222222223,Medium,5.434789366152219,3.7981509923842234,3.951893851204019,False,False,False,Other
LESLIE,43.77104524,-79.36696336,3988.0,400,0.9615384615384616,0.136986301369863,292,108,0.14038461538461539,0.12980769230769232,0.9246575342465754,87,21.75,0.029794520547945205,27,6.75,0.9450000000000001,Low,15.886131024442488,14.215896036789788,14.528268257699567,False,False,False,Other
BESSARION,43.76906912,-79.37591147,3180.0,307,0.7379807692307693,0.10513698630136986,220,87,0.10576923076923077,0.1045673076923077,0.9886363636363636,93,30.293159609120522,0.03184931506849315,32,10.423452768729643,1.45928338762215,Low,15.498156475956604,13.965001220799044,14.237503814368525,False,False,False,Other
ELLESMERE,43.76599543,-79.27778526,,316,0.7596153846153846,0.10821917808219178,219,97,0.10528846153846154,0.11658653846153846,1.1073059360730593,81,25.63291139240506,0.02773972602739726,28,8.860759493670885,1.240506329113924,Low,18.62078351373387,15.86990761007882,16.50587288220253,False,False,False,Other
LAWRENCE EAST,43.75087634,-79.27053647,,401,0.9639423076923077,0.13732876712328768,298,103,0.14326923076923076,0.12379807692307693,0.8640939597315437,94,23.44139650872818,0.03219178082191781,34,8.478802992518704,1.1870324189526187,Low,17.706159327147322,14.789591395674982,15.475975672955204,False,False,False,Other
MCCOWAN,43.77487063,-79.25192231,,1066,2.5625,0.36506849315068496,729,337,0.3504807692307692,0.4050480769230769,1.155692729766804,152,14.258911819887429,0.052054794520547946,140,13.133208255159476,1.8386491557223268,Medium,20.695924842687823,17.829222579720398,18.503333535455297,False,False,False,Other
MIDLAND,43.7705402,-79.27173919,,248,0.5961538461538461,0.08493150684931507,174,74,0.08365384615384615,0.0889423076923077,1.0632183908045978,73,29.435483870967744,0.025,24,9.67741935483871,1.3548387096774195,Low,19.317522610154064,16.553633952637853,17.19455252685045,False,False,False,Other
SCARBOROUGH CENTRE,43.77438856,-79.25822373,,268,0.6442307692307693,0.09178082191780822,199,69,0.09567307692307692,0.0829326923076923,0.8668341708542714,61,22.761194029850746,0.02089041095890411,31,11.567164179104477,1.619402985074627,Low,20.329664992108015,17.499149479167013,18.16173118770175,False,False,False,Other
